,Pclass,Sex,Age,Fare,Family_Count,CabinIndicator
697,3,0,29.69911764705882,7.7333,0,0
792,3,0,29.69911764705882,69.55,10,0
610,3,0,39.0,31.275,6,0
402,3,0,21.0,9.825,1,0
701,1,1,35.0,26.2875,0,1
541,3,0,9.0,31.275,6,0
49,3,0,18.0,17.8,1,0
243,3,1,22.0,7.125,0,0
643,3,1,29.69911764705882,56.4958,0,0
302,3,1,19.0,0.0,0,0
278,3,1,7.0,29.125,5,0
179,3,1,36.0,0.0,0,0
201,3,1,29.69911764705882,69.55,10,0
157,3,1,30.0,8.05,0,0
571,1,0,53.0,51.4792,2,1
794,3,1,25.0,7.8958,0,0
838,3,1,32.0,56.4958,0,0
231,3,1,29.0,7.775,0,0
619,2,1,26.0,10.5,0,0
450,2,1,36.0,27.75,3,0
808,2,1,39.0,13.0,0,0
711,1,1,29.69911764705882,26.55,0,1
518,2,0,36.0,26.0,1,0
708,1,0,22.0,151.55,0,0
789,1,1,46.0,79.2,0,1
453,1,1,49.0,89.1042,1,1
298,1,1,29.69911764705882,30.5,0,1
730,1,0,29.0,211.3375,0,1
538,3,1,29.69911764705882,14.5,0,0
297,1,0,2.0,151.55,3,1
352,3,1,15.0,7.2292,2,0
32,3,0,29.69911764705882,7.75,0,0
545,1,1,64.0,26.0,0,0
386,3,1,1.0,46.9,7,0
204,3,1,18.0,8.05,0,0
125,3,1,12.0,11.2417,1,0
175,3,1,18.0,7.8542,2,0
655,2,1,24.0,73.5,2,0
598,3,1,29.69911764705882,7.225,0,0
235,3,0,29.69911764705882,7.55,0,0
110,1,1,47.0,52.0,0,1
479,3,0,2.0,12.2875,1,0
95,3,1,29.69911764705882,8.05,0,0
528,3,1,39.0,7.925,0,0
778,3,1,29.69911764705882,7.7375,0,0
20,2,1,35.0,26.0,0,0
763,1,0,36.0,120.0,3,1
878,3,1,29.69911764705882,7.8958,0,0
28,3,0,29.69911764705882,7.8792,0,0
444,3,1,29.69911764705882,8.1125,0,0
277,2,1,29.69911764705882,0.0,0,0
734,2,1,23.0,13.0,0,0
284,1,1,29.69911764705882,26.0,0,1
618,2,0,4.0,39.0,3,1
256,1,0,29.69911764705882,79.2,0,0
184,3,0,4.0,22.025,2,0
398,2,1,23.0,10.5,0,0
876,3,1,20.0,9.8458,0,0
211,2,0,35.0,21.0,0,0
581,1,0,39.0,110.8833,2,1
89,3,1,24.0,8.05,0,0
404,3,0,20.0,8.6625,0,0
191,2,1,19.0,13.0,0,0
558,1,0,39.0,79.65,2,1
593,3,0,29.69911764705882,7.75,2,0
724,1,1,27.0,53.1,1,1
474,3,0,22.0,9.8375,0,0
771,3,1,48.0,7.8542,0,0
698,1,1,49.0,110.8833,2,1
27,1,1,19.0,263.0,5,1
223,3,1,29.69911764705882,7.8958,0,0
216,3,0,27.0,7.925,0,0
248,1,1,37.0,52.5542,2,1
189,3,1,36.0,7.8958,0,0
391,3,1,21.0,7.7958,0,0
70,2,1,32.0,10.5,0,0
578,3,0,29.69911764705882,14.4583,1,0
533,3,0,29.69911764705882,22.3583,2,0
870,3,1,26.0,7.8958,0,0
613,3,1,29.69911764705882,7.75,0,0
844,3,1,17.0,8.6625,0,0
219,2,1,30.0,10.5,0,0
233,3,0,5.0,31.3875,6,0
414,3,1,44.0,7.925,0,0
288,2,1,42.0,13.0,0,0
743,3,1,24.0,16.1,1,0
626,2,1,57.0,12.35,0,0
366,1,0,60.0,75.25,1,1
514,3,1,24.0,7.4958,0,0
564,3,0,29.69911764705882,8.05,0,0
554,3,0,22.0,7.775,0,0
739,3,1,29.69911764705882,7.8958,0,0
710,1,0,24.0,49.5042,0,1
333,3,1,16.0,18.0,2,0
624,3,1,21.0,16.1,0,0
104,3,1,37.0,7.925,2,0
128,3,0,29.69911764705882,22.3583,2,1
685,2,1,25.0,41.5792,3,0
871,1,0,47.0,52.5542,2,1
241,3,0,29.69911764705882,15.5,1,0
6,1,1,54.0,51.8625,0,1
585,1,0,18.0,79.65,2,1
403,3,1,28.0,15.85,1,0
733,2,1,23.0,13.0,0,0
549,2,1,8.0,36.75,2,0
589,3,1,29.69911764705882,8.05,0,0
590,3,1,35.0,7.125,0,0
61,1,0,38.0,80.0,0,1
526,2,0,50.0,10.5,0,0
445,1,1,4.0,81.8583,2,1
62,1,1,45.0,83.475,1,1
37,3,1,21.0,8.05,0,0
744,3,1,31.0,7.925,0,0
629,3,1,29.69911764705882,7.7333,0,0
165,3,1,9.0,20.525,2,0
650,3,1,29.69911764705882,7.8958,0,0
833,3,1,23.0,7.8542,0,0
550,1,1,17.0,110.8833,2,1
696,3,1,44.0,8.05,0,0
400,3,1,39.0,7.925,0,0
781,1,0,17.0,57.0,1,1
12,3,1,20.0,8.05,0,0
835,1,0,39.0,83.1583,2,1
687,3,1,19.0,10.1708,0,0
439,2,1,31.0,10.5,0,0
286,3,1,30.0,9.5,0,0
144,2,1,18.0,11.5,0,0
639,3,1,29.69911764705882,16.1,1,0
413,2,1,29.69911764705882,0.0,0,0
692,3,1,29.69911764705882,56.4958,0,0
674,2,1,29.69911764705882,0.0,0,0
477,3,1,29.0,7.0458,1,0
25,3,0,38.0,31.3875,6,0
81,3,1,29.0,9.5,0,0
361,2,1,29.0,27.7208,1,0
133,2,0,29.0,26.0,1,0
1,1,0,38.0,71.2833,1,1
663,3,1,36.0,7.4958,0,0
19,3,0,29.69911764705882,7.225,0,0
29,3,1,29.69911764705882,7.8958,0,0
334,1,0,29.69911764705882,133.65,1,0
501,3,0,21.0,7.75,0,0
856,1,0,45.0,164.8667,2,0
583,1,1,36.0,40.125,0,1
350,3,1,23.0,9.225,0,0
83,1,1,28.0,47.1,0,0
495,3,1,29.69911764705882,14.4583,0,0
330,3,0,29.69911764705882,23.25,2,0
53,2,0,29.0,26.0,1,0
890,3,1,32.0,7.75,0,0
173,3,1,21.0,7.925,0,0
436,3,0,21.0,34.375,4,0
488,3,1,30.0,8.05,0,0
570,2,1,62.0,10.5,0,0
759,1,0,33.0,86.5,0,1
815,1,1,29.69911764705882,0.0,0,1
466,2,1,29.69911764705882,0.0,0,0
839,1,1,29.69911764705882,29.7,0,1
758,3,1,34.0,8.05,0,0
423,3,0,28.0,14.4,2,0
872,1,1,33.0,5.0,0,1
149,2,1,42.0,13.0,0,0
516,2,0,34.0,10.5,0,1
218,1,0,32.0,76.2917,0,1
854,2,0,44.0,26.0,1,0
494,3,1,21.0,8.05,0,0
464,3,1,29.69911764705882,8.05,0,0
143,3,1,19.0,6.75,0,0
126,3,1,29.69911764705882,7.75,0,0
152,3,1,55.5,8.05,0,0
238,2,1,19.0,10.5,0,0
592,3,1,47.0,7.25,0,0
535,2,0,7.0,26.25,2,0
818,3,1,43.0,6.45,0,0
247,2,0,24.0,14.5,2,0
573,3,0,29.69911764705882,7.75,0,0
108,3,1,38.0,7.8958,0,0
383,1,0,35.0,52.0,1,0
337,1,0,41.0,134.5,0,1
868,3,1,29.69911764705882,9.5,0,0
604,1,1,35.0,26.55,0,0
44,3,0,19.0,7.8792,0,0
601,3,1,29.69911764705882,7.8958,0,0
405,2,1,34.0,21.0,1,0
712,1,1,48.0,52.0,1,1
506,2,0,33.0,26.0,2,0
324,3,1,29.69911764705882,69.55,10,0
791,2,1,16.0,26.0,0,0
168,1,1,29.69911764705882,25.925,0,0
137,1,1,37.0,53.1,1,1
422,3,1,29.0,7.875,0,0
220,3,1,16.0,8.05,0,0
225,3,1,22.0,9.35,0,0
454,3,1,29.69911764705882,8.05,0,0
519,3,1,32.0,7.8958,0,0
787,3,1,8.0,29.125,5,0
627,1,0,21.0,77.9583,0,1
579,3,1,32.0,7.925,0,0
355,3,1,28.0,9.5,0,0
689,1,0,15.0,211.3375,1,1
136,1,0,19.0,26.2833,2,1
728,2,1,25.0,26.0,1,0
761,3,1,41.0,7.125,0,0
673,2,1,31.0,13.0,0,0
812,2,1,35.0,10.5,0,0
776,3,1,29.69911764705882,7.75,0,1
807,3,0,18.0,7.775,0,0
293,3,0,24.0,8.85,0,0
842,1,0,30.0,31.0,0,0
10,3,0,4.0,16.7,2,1
855,3,0,18.0,9.35,1,0
540,1,0,36.0,71.0,2,1
251,3,0,29.0,10.4625,2,1
207,3,1,26.0,18.7875,0,0
393,1,0,23.0,113.275,1,1
636,3,1,32.0,7.925,0,0
69,3,1,26.0,8.6625,2,0
194,1,0,44.0,27.7208,0,1
649,3,0,23.0,7.55,0,0
572,1,1,36.0,26.3875,0,1
840,3,1,20.0,7.925,0,0
112,3,1,22.0,8.05,0,0
325,1,0,36.0,135.6333,0,1
612,3,0,29.69911764705882,15.5,1,0
312,2,0,26.0,26.0,2,0
432,2,0,42.0,26.0,1,0
502,3,0,29.69911764705882,7.6292,0,0
341,1,0,24.0,263.0,5,1
611,3,1,29.69911764705882,7.05,0,0
788,3,1,1.0,20.575,3,0
507,1,1,29.69911764705882,26.55,0,0
622,3,1,20.0,15.7417,2,0
441,3,1,20.0,9.5,0,0
281,3,1,28.0,7.8542,0,0
407,2,1,3.0,18.75,2,0
187,1,1,45.0,26.55,0,0
442,3,1,25.0,7.775,1,0
634,3,0,9.0,27.9,5,0
705,2,1,39.0,26.0,0,0
459,3,1,29.69911764705882,7.75,0,0
92,1,1,46.0,61.175,1,1
410,3,1,29.69911764705882,7.8958,0,0
651,2,0,18.0,23.0,1,0
574,3,1,16.0,8.05,0,0
873,3,1,47.0,9.0,0,0
503,3,0,37.0,9.5875,0,0
686,3,1,14.0,39.6875,5,0
475,1,1,29.69911764705882,52.0,0,1
805,3,1,31.0,7.775,0,0
557,1,1,29.69911764705882,227.525,0,0
658,2,1,23.0,13.0,0,0
130,3,1,33.0,7.8958,0,0
811,3,1,39.0,24.15,0,0
562,2,1,28.0,13.5,0,0
609,1,0,40.0,153.4625,0,1
197,3,1,42.0,8.4042,1,0
215,1,0,31.0,113.275,1,1
752,3,1,33.0,9.5,0,0
884,3,1,25.0,7.05,0,0
797,3,0,31.0,8.6833,0,0
481,2,1,29.69911764705882,0.0,0,0
575,3,1,19.0,14.5,0,0
471,3,1,38.0,8.6625,0,0
440,2,0,45.0,26.25,2,0
736,3,0,48.0,34.375,4,0
681,1,1,27.0,76.7292,0,1
257,1,0,30.0,86.5,0,1
428,3,1,29.69911764705882,7.75,0,0
850,3,1,4.0,31.275,6,0
497,3,1,29.69911764705882,15.1,0,0
635,2,0,28.0,13.0,0,0
490,3,1,29.69911764705882,19.9667,1,0
665,2,1,32.0,73.5,2,0
460,1,1,48.0,26.55,0,1
76,3,1,29.69911764705882,7.8958,0,0
552,3,1,29.69911764705882,7.8292,0,0
806,1,1,39.0,0.0,0,1
786,3,0,18.0,7.4958,0,0
65,3,1,29.69911764705882,15.2458,2,0
819,3,1,10.0,27.9,5,0
206,3,1,32.0,15.85,1,0
8,3,0,27.0,11.1333,2,0
77,3,1,29.69911764705882,8.05,0,0
772,2,0,57.0,10.5,0,1
58,2,0,5.0,27.75,3,0
472,2,0,33.0,27.75,3,0
424,3,1,18.0,20.2125,2,0
377,1,1,27.0,211.5,2,1
480,3,1,9.0,46.9,7,0
496,1,0,54.0,78.2667,1,1
631,3,1,51.0,7.0542,0,0
857,1,1,51.0,26.55,0,1
319,1,0,40.0,134.5,2,1
364,3,1,29.69911764705882,15.5,1,0
412,1,0,33.0,90.0,1,1
141,3,0,22.0,7.75,0,0
88,1,0,23.0,263.0,5,1
647,1,1,56.0,35.5,0,1
323,2,0,22.0,29.0,2,0
321,3,1,27.0,7.8958,0,0
60,3,1,22.0,7.2292,0,0
486,1,0,35.0,90.0,1,1
385,2,1,18.0,73.5,0,0
419,3,0,10.0,24.15,2,0
433,3,1,17.0,7.125,0,0
301,3,1,29.69911764705882,23.25,2,0
869,3,1,4.0,11.1333,2,0
296,3,1,23.5,7.2292,0,0
315,3,0,26.0,7.8542,0,0
829,1,0,62.0,80.0,0,1
46,3,1,29.69911764705882,15.5,1,0
86,3,1,16.0,34.375,4,0
109,3,0,29.69911764705882,24.15,1,0
360,3,1,40.0,27.9,5,0
645,1,1,48.0,76.7292,1,1
16,3,1,2.0,29.125,5,0
493,1,1,71.0,49.5042,0,0
193,2,1,3.0,26.0,2,1
849,1,0,29.69911764705882,89.1042,1,1
628,3,1,26.0,7.8958,0,0
401,3,1,26.0,8.05,0,0
539,1,0,22.0,49.5,2,1
438,1,1,64.0,263.0,5,1
140,3,0,29.69911764705882,15.2458,2,0
198,3,0,29.69911764705882,7.75,0,0
467,1,1,56.0,26.55,0,0
14,3,0,14.0,7.8542,0,0
87,3,1,29.69911764705882,8.05,0,0
265,2,1,36.0,10.5,0,0
262,1,1,52.0,79.65,2,1
222,3,1,51.0,8.05,0,0
755,2,1,0.67,14.5,2,0
259,2,0,50.0,26.0,1,0
3,1,0,35.0,53.1,1,1
354,3,1,29.69911764705882,7.225,0,0
489,3,1,9.0,15.9,2,0
615,2,0,24.0,65.0,3,0
473,2,0,23.0,13.7917,0,1
661,3,1,40.0,7.225,0,0
139,1,1,24.0,79.2,0,1
67,3,1,19.0,8.1583,0,0
515,1,1,47.0,34.0208,0,1
342,2,1,28.0,13.0,0,0
56,2,0,21.0,10.5,0,0
304,3,1,29.69911764705882,8.05,0,0
745,1,1,70.0,71.0,2,1
51,3,1,21.0,7.8,0,0
513,1,0,54.0,59.4,1,0
465,3,1,38.0,7.05,0,0
530,2,0,2.0,26.0,2,0
780,3,0,13.0,7.2292,0,0
305,1,1,0.92,151.55,3,1
434,1,1,50.0,55.9,1,1
537,1,0,30.0,106.425,0,0
695,2,1,52.0,13.5,0,0
357,2,0,38.0,13.0,0,0
186,3,0,29.69911764705882,15.5,1,0
555,1,1,62.0,26.55,0,0
129,3,1,45.0,6.975,0,0
359,3,0,29.69911764705882,7.8792,0,0
244,3,1,30.0,7.225,0,0
255,3,0,29.0,15.2458,2,0
782,1,1,29.0,30.0,0,1
390,1,1,36.0,120.0,3,1
720,2,0,6.0,33.0,1,0
154,3,1,29.69911764705882,7.3125,0,0
371,3,1,18.0,6.4958,1,0
889,1,1,26.0,30.0,0,1
582,2,1,54.0,26.0,0,0
847,3,1,35.0,7.8958,0,0
158,3,1,29.69911764705882,8.6625,0,0
765,1,0,51.0,77.9583,1,1
843,3,1,34.5,6.4375,0,0
271,3,1,25.0,0.0,0,0
484,1,1,25.0,91.0792,1,1
146,3,1,27.0,7.7958,0,0
717,2,0,27.0,10.5,0,1
790,3,1,29.69911764705882,7.75,0,0
394,3,0,24.0,16.7,2,1
826,3,1,29.69911764705882,56.4958,0,0
418,2,1,30.0,13.0,0,0
576,2,0,34.0,13.0,0,0
837,3,1,29.69911764705882,8.05,0,0
882,3,0,22.0,10.5167,0,0
680,3,0,29.69911764705882,8.1375,0,0
588,3,1,22.0,8.05,0,0
290,1,0,26.0,78.85,0,0
411,3,1,29.69911764705882,6.8583,0,0
630,1,1,80.0,30.0,0,1
213,2,1,30.0,13.0,0,0
358,3,0,29.69911764705882,7.8792,0,0
180,3,0,29.69911764705882,69.55,10,0
380,1,0,42.0,227.525,0,0
99,2,1,34.0,26.0,1,0
135,2,1,23.0,15.0458,0,0
176,3,1,29.69911764705882,25.4667,4,0
504,1,0,16.0,86.5,0,1
559,3,0,36.0,17.4,1,0
596,2,0,29.69911764705882,33.0,0,0
887,1,0,19.0,30.0,0,1
39,3,0,14.0,11.2417,1,0
340,2,1,2.0,26.0,2,1
2,3,0,26.0,7.925,0,0
451,3,1,29.69911764705882,19.9667,1,0
823,3,0,27.0,12.475,1,1
817,2,1,31.0,37.0042,2,0
68,3,0,17.0,7.925,6,0
208,3,0,16.0,7.75,0,0
608,2,0,22.0,41.5792,3,0
420,3,1,29.69911764705882,7.8958,0,0
253,3,1,30.0,16.1,1,0
846,3,1,29.69911764705882,69.55,10,0
339,1,1,45.0,35.5,0,1
409,3,0,29.69911764705882,25.4667,4,0
111,3,0,14.5,14.4542,1,0
224,1,1,38.0,90.0,1,1
544,1,1,50.0,106.425,1,1
73,3,1,26.0,14.4542,1,0
47,3,0,29.69911764705882,7.75,0,0
638,3,0,41.0,39.6875,5,0
113,3,0,20.0,9.825,1,0
96,1,1,71.0,34.6542,0,1
737,1,1,35.0,512.3292,0,1
214,3,1,29.69911764705882,7.75,1,0
569,3,1,32.0,7.8542,0,0
123,2,0,32.5,13.0,0,1
106,3,0,21.0,7.65,0,0
595,3,1,36.0,24.15,2,0
17,2,1,29.69911764705882,13.0,0,0
742,1,0,21.0,262.375,4,1
98,2,0,34.0,23.0,1,0
322,2,0,30.0,12.35,0,0
382,3,1,32.0,7.925,0,0
365,3,1,30.0,7.25,0,0
510,3,1,29.0,7.75,0,0
